Sentence,fuel,machine,others,part,price,service
"Dina hal kanyamanan, Cortez henteu kunanaon, tapi suluh leres-leres boros",negative,neutral,positive,neutral,neutral,neutral
"Jujur, lila pisan ti dealer, tos sabulan teu acan sumping.",neutral,neutral,neutral,neutral,neutral,negative
"kakara gabung, kakara meuli xenia 04 - 2008 3 days ago sakabéh kuring ngarasa kawas éta cukup.",neutral,neutral,positive,neutral,neutral,neutral
Nyaan satuju yén jazz téh cooler tur hadé ti mobilio,neutral,neutral,negative,neutral,neutral,neutral
"Masya Allah, Toyota mahal, tapi pelit fiturna",neutral,neutral,neutral,negative,negative,neutral
Suku cadang Fortuner dijual dimana-mana,neutral,neutral,neutral,positive,neutral,neutral
"Alhamdulilah, mobil parantos sumping ti dealer Wulling awal Agustus, gancang.",neutral,neutral,neutral,neutral,neutral,positive
"Vario 125 mah hampang pisan sareng nyaman dianggo kanggo awewe sapertos kuring, khususna nalika dibawa ka mana-mana, irit pisan sareng hargana tiasa dibandingkeun sareng motor Honda anu sanés.",positive,neutral,positive,neutral,positive,neutral
"Meser 2018 buru-buru, alhamdulillah teu aya kaduhung dugi ka ayeuna sareng insya Allah ka payun",neutral,neutral,positive,neutral,neutral,neutral
jawara penanganan Mini Cooper.,neutral,neutral,neutral,positive,neutral,neutral
"Puas pisan mobilna mah, salain bodi ageung, katingalna mewah tur irit bahan bakar pisan sabab make solar jadi Kijang Innova anu hebat.",positive,neutral,positive,positive,neutral,neutral
"Xenia henteu lami pisan, saatos 6 bulan parantos aya masalah",neutral,neutral,negative,neutral,neutral,neutral
"Abdi parantos lami ngantosan pivot Xpander, janten abdi ngajual mobil ieu",neutral,neutral,neutral,neutral,neutral,negative
"Kuring ngajalankeun Mazda CX3 sapopoé. Performa ajeg, mobil nyaman, beda jeung Honda HRV nu condong goyang mudik",neutral,neutral,negative,neutral,neutral,neutral
"Mesin Avanza oyag lancar sanajan dina jalan anu henteu rata, AC henteu ngalambatkeun sanajan dihurungkeun teu eureun-eureun, sareng mesin henteu gancang overheat sanajan macét sababaraha menit.",neutral,positive,neutral,positive,neutral,neutral
"Wuling Formo mobil Cina, mesinna teu awet sabab di Cina mah teu aya nu awet.",neutral,negative,neutral,neutral,neutral,neutral
"Mobil honda keren pisan, abdi gaduh honda CRV taun 2006 dugi ka ayeuna masih lancar,",neutral,neutral,positive,neutral,neutral,neutral
"Honda sok toleran jeung maksa unggal upgrade mobil nu geus aya, boring",neutral,neutral,negative,neutral,neutral,neutral
"Bengkel jasa Ahas Togosari henteu nyugemakeun, mékanika henteu fokus sareng goréng. teu siga baheula. kumaha damang bos?",neutral,neutral,neutral,neutral,neutral,negative
"Pikeun anu berorientasi supir, Mitsubishi ieu cocog pisan pikeun mobil anu pikaresepeun pikeun nyetir sareng gampang dibawa ka luar atanapi di kota.",neutral,neutral,positive,neutral,neutral,neutral
N - Biaya pangropéa anu mahal bakal langkung boros tibatan upami anjeun nyandak angkot,neutral,neutral,neutral,neutral,neutral,negative
Fortuner beuki méwah jeung gedé,neutral,neutral,positive,neutral,neutral,neutral
"@DaihatsuInd Xenia leres pisan urang! Cocog pikeun dibawa ka mana waé, jasa gampang, hargana terjangkau, gampang dianggo.",neutral,neutral,positive,neutral,positive,positive
Naha kuring milih Pajero sabab kuring sering mudik nalika lebaran sareng jalanna seuseueurna parah sareng tanjakanna naék sareng teu acan diaspal?,neutral,positive,neutral,neutral,neutral,neutral
"Konsumsi BBM bisa dipaksakeun ka 1:12 lamun nyetir ku cara waras, Altis G 2003 MT ieu rada irit.",positive,neutral,neutral,neutral,neutral,neutral
"Harga saatos penjualan Toyota memang langkung saé. Tapi enya, jalma kawas kuring mikir yén maranéhna meuli mobil keur dipake, teu ngajual eta. Haha",neutral,neutral,neutral,neutral,positive,neutral
"@YamahaIndonesia Bengkel Yamaha di Poso parah pisan kang, kamari diomongkeun ayeuna mah, poe ieu datang cenah teu bisa.",neutral,neutral,neutral,neutral,neutral,negative
"Abdi ngagaleuh Honda Beat ieu taun 2015, motor ieu tos tilu taun. Abdi damel rada tebih ti bumi, tapi parantos kabuktosan pisan irit bahan bakar, sabalikna aya rem ganda anu ngajantenkeun sapédah ieu luar biasa.",positive,neutral,neutral,positive,neutral,neutral
"Lampu sirah Avanza ogé ngagunakeun modél panganyarna. Kalayan parobahan ieu, mobil ieu ngagaduhan desain anu langkung elegan, Pak.",neutral,neutral,neutral,positive,neutral,neutral
"Hapunten ngagaleuh Mobilio, tatangga kuring ngagaleuh Wuling Cortez sareng wareg pisan",neutral,neutral,positive,neutral,neutral,neutral
Brio mangrupikeun mobil ekonomis pikeun kulawarga kelas menengah,neutral,neutral,neutral,neutral,positive,neutral
"suku ogé aman tur normal. Henteu kantos ngagentos suku cadang kecuali minyak radiator sareng saringan, Brio hébat",neutral,neutral,neutral,positive,neutral,neutral
"Aya hiji deui hal anu kuring anggap remeh tapi pikaresepeun, nyaéta fitur Brake Hold dina HRV",neutral,neutral,neutral,positive,neutral,neutral
xpander Sigana mah mobil 2020,neutral,neutral,positive,neutral,neutral,neutral
Toyota Rush mangrupikeun anu pangsaéna di kelasna sareng di payuneun waktosna.,neutral,neutral,positive,neutral,neutral,neutral
Brio teu alus Sumpah.,neutral,neutral,negative,neutral,neutral,neutral
"Dipaké pikeun digawé unggal poé, teu pernah riweuh, mesin bisa dipercaya, luyu jeung kaperluan kuring, irit BBM teu aya tandinganana.",positive,positive,positive,neutral,neutral,neutral
Langkung saé upami Mitsubishi Xpander meunang rata-rata dina sagala aspek,neutral,neutral,positive,neutral,neutral,neutral
Kumaha carana bengkel Toyota jadi goréng? Cenah nomerna bakal ditelepon tapi nomerna manual :(,neutral,neutral,neutral,neutral,neutral,negative
Cukup 10 menit kanggo ngabersihkeun injector motor injeksi Yamaha :D anu hartosna motor injeksi YMH murah & gampang perawatanna,neutral,neutral,neutral,neutral,neutral,positive
"The shortcomings tina Formo di glance: fitur kaamanan minimal, kualitas pagawean interior goréng.",neutral,neutral,neutral,negative,neutral,neutral
Hese pisan nelepon pikeun mesen layanan mobil Toyota 2000! Abdi leres-leres kedah mesen didinya :(,neutral,neutral,neutral,neutral,neutral,negative
Motor injeksi Yamaha langkung gampang sareng langkung mirah perawatanna,neutral,neutral,neutral,neutral,neutral,positive
"Pangalaman nganggo HRV 1.5 E, shockbreaker ribut nalika di tol Cikampek sareng ngabanting nalika diuk di tukang.",neutral,neutral,neutral,negative,neutral,neutral
"Honda Beat pisan irit bahan bakar, hampang pikeun nyusul di jalan macet, mesinna gampil pisan.",positive,positive,positive,neutral,neutral,neutral
Mobil WULING CONFERO téh pantes pisan pikeun milih jeung MÉSÉL jadi mobil MPV nu nyaman jeung hargana nu lumrah.,neutral,neutral,neutral,neutral,positive,neutral
Milih Terios anyar teu salah,neutral,neutral,positive,neutral,neutral,neutral
"Xenia estu ekonomis, utamana lamun éta tiis. cobian mareuman AC, tiasa perjalanan 25.000 rupiah.",positive,neutral,neutral,neutral,neutral,neutral
Mobil Wuling Confero S nyaman dianggo dina rupa bumi petualangan.,neutral,neutral,positive,neutral,neutral,neutral
Puas pisan sareng saatos penjualan Nissan.,neutral,neutral,neutral,neutral,neutral,positive
"Avanza gampang dijaga,",neutral,neutral,neutral,neutral,neutral,positive
"Lamun datang ka mesin jeung bentuk luhur Yamaha, kawas ayeuna kuring maké NMAX 2018 nu geus lila ditingal, kuring resep pisan bentukna.",neutral,positive,neutral,positive,neutral,neutral
"masalahna nyaeta, Xenia 2005 kadang dasbor nyieun noise,",neutral,neutral,neutral,negative,neutral,neutral
"Sareng kabinna ogé langkung lega tibatan Fortuner, sedengkeun Pajero langkung heureut, utamina di payun",neutral,neutral,neutral,negative,neutral,neutral
"Service bengkel pinggir jalan cenah macet, hasil service di dealer resmi, service macet, Honda bajingan",neutral,neutral,neutral,neutral,neutral,negative
"Sajauh ieu, ngagunakeun Xexi cukup saé sareng nyaman ogé.",neutral,neutral,positive,neutral,neutral,neutral
"Rata-rata harga BBM di luar kota ogé bisa ngahontal 1:16, irit pisan pikeun Mitsubishi",positive,neutral,neutral,neutral,neutral,neutral
"Kelemahan Xenia 1, LUKIS DI JARINGAN BEUREU JIGA NUNGGUNG OTA! GELO RASA PUING.",neutral,neutral,neutral,negative,neutral,neutral
Tapi naon anu goréng ngeunaan Freed nyaéta nyeret na.,neutral,negative,neutral,neutral,neutral,neutral
Fortuner mangrupikeun mobil kalayan kakuatan anu lemah sareng harga anu mahal,neutral,negative,neutral,neutral,negative,neutral
"Kuring nyarankeun ngan meuli suku cadang Vario, aftermarket ogé oke",neutral,neutral,neutral,positive,positive,neutral
"Brio teu cocog dibawa ka rupa bumi hésé, éta lemah",neutral,neutral,positive,neutral,neutral,neutral
"Sederhana, cocok jeung julukanna, Honda Beat, gaya desainna beuki minimalis tapi juara di kelasna, juara irit BBM, ramah jeung ramah kana kantong jeung dompet, sukses selalu Honda one Heart",positive,neutral,neutral,positive,positive,neutral
"Kurangna kakuatan dina Ertiga ogé rada ngaganggu,",neutral,negative,neutral,neutral,neutral,neutral
"Jigana New Veloz geus nyieun loba perbaikan, utamana dina gantung dibandingkeun saméméhna. Pusing méntal, guligah awak, guligah geus ngurangan.",neutral,neutral,neutral,positive,neutral,neutral
"@DaihatsuInd seueur anu ngawadul yen jasa kadua dina Astra Daihatsu mahal. Punten ngadidik bengkel resmi, ulah maén harga atanapi suku cadang anu saé henteu kedah diganti",neutral,neutral,neutral,neutral,neutral,negative
Lajeng radio HRV hurung ku sorangan dina volume maksimum. Teu bisa dipareuman atawa dikurangan.,neutral,neutral,neutral,negative,neutral,neutral
"Wah, AVS anjeun irit pisan bro, AVG kuring ngan ukur 1:8 dugi ka 1:9, macét pisan di jalan.",positive,neutral,neutral,neutral,neutral,neutral
"Fortuner mangrupikeun mobil impian kuring. Ieu mangrupa SUV mahal memang, tapi patut eta.",neutral,neutral,neutral,neutral,negative,neutral
"Lamun ningali spésifikasi, harga Ertiga cukup ramah saku",neutral,neutral,neutral,neutral,positive,neutral
Tétéla pangropéa Yamaha rata-rata langkung mirah tibatan pesaingna.,neutral,neutral,neutral,neutral,neutral,positive
"Geus dua taun kuring boga motor honda beat ieu mah unggal poe ngabaturan budak sakola jeung gawe. Motorna rada lincah, gesit jeung irit BBM.",positive,positive,neutral,neutral,neutral,neutral
Pajero gaduh mesin anu langkung kuat sareng seueur fitur,neutral,positive,neutral,positive,neutral,neutral
Harga jual Suzuki Ignis sareng Daihatsu Sirion ogé teu stabil,neutral,neutral,neutral,neutral,negative,neutral
"Saur kuring, suspensi Avanza rada anéh. Lamun ngan urang duaan, suspensi teh karasaeun hese. tapi lamun dieusian ku 6-7 urang suspension bener alus.",neutral,neutral,neutral,negative,neutral,neutral
"Upami di luhur 120 km/jam mah Avanza mah boros pisan, sareng koplingna rada nyaring pak.",negative,neutral,neutral,negative,neutral,neutral
"Pertama kali kuring boga mobil ieu asa ngimpi, sabab sanggeus meunang mobil sabenerna meunang 10 juta rupiah dina lotre Daihatsu. Mobil irit, palayanan gampang sareng murah.",positive,neutral,neutral,neutral,neutral,positive
Éta langkung saé upami anjeun tiasa mésér VRZ 4 * 4 kalayan fitur spoiler pinuh di toko rupa-rupa,neutral,neutral,neutral,positive,neutral,neutral
Rush hartina konsumsi BBM anu tetep irit.,negative,neutral,neutral,neutral,neutral,neutral
"Xenia masih kurang dina hal kaamanan. Henteu aya kantong udara, bos.",neutral,neutral,neutral,positive,neutral,neutral
Pajero Sport Dakar memang luhureun Fortuner,neutral,neutral,negative,neutral,neutral,neutral
Abdi henteu resep XPander sateuacana.,neutral,neutral,negative,neutral,neutral,neutral
Altis gen 11 pas pikeun anu milari kanyamanan nyetir,neutral,neutral,positive,neutral,neutral,neutral
Naha setir Fortuner kuring rada teu nyaman? Teu fléksibel.,neutral,neutral,neutral,negative,neutral,neutral
The revs handap mesin Fortuner pisan kuat,neutral,positive,neutral,neutral,neutral,neutral
"Jujur, Fortuner ieu estu tangguh dianggo dina sagala rupa bumi",neutral,positive,neutral,neutral,neutral,neutral
"Dina pangalaman kuring, kuring boga Avanza, suluh leuwih efisien ti nalika kuring kungsi Xenia",negative,neutral,neutral,neutral,neutral,neutral
"Kamari naek honda brio, karek 2 taun mah jarang dipake, rem tos gogorowokan, rem gancang lungse, booster rem atanapi segel master rem bocor.",neutral,neutral,neutral,negative,neutral,neutral
"Sirion ieu mahal teuing bos, moal payu di Indonesia",neutral,neutral,negative,neutral,negative,neutral
xenia Ieu mobil awon Kuring geus kungsi dipiboga,neutral,neutral,negative,neutral,neutral,neutral
"Abdi ngaku yén éta leres-leres naek Hrv ieu, lanceuk anjeun nganggo Hrv",neutral,neutral,positive,neutral,neutral,neutral
Hanjakal teu aya anu kompeten di bengkel Honda. Saminggu sanggeus workshop sora dimimitian deui.,neutral,neutral,neutral,neutral,neutral,negative
"DAIHATSU TARUNA, sajaba ti penampilan modéren dina waktos éta, éta ngagaduhan kapasitas panumpang anu ageung sareng tangtosna, mobil ieu didamel dina gaya SUV.",neutral,neutral,neutral,positive,neutral,neutral
"Dina pamanggih kuring, dina hal kanyamanan, Xenia henteu goréng",neutral,neutral,positive,neutral,neutral,neutral
Avanza irit bahan bakar.,positive,neutral,neutral,neutral,neutral,neutral
Toyota Rush 2018 narik luar biasa,neutral,positive,neutral,neutral,neutral,neutral
Avanza mangrupakeun mobil nyaman keur kulawarga sarta teu mahal teuing pikeun ngajaga,neutral,neutral,positive,neutral,neutral,positive
"Kuring maca di luhur tatanggana, Xenia ogé acuk sabudeureun 2-3 juta. Mobil beuki mahal ayeuna.",neutral,neutral,neutral,neutral,negative,neutral
Éta sababna kuring sieun datang ka bengkel Honda Autoland pikeun layanan serius sabab pasti bakal ditolak,neutral,neutral,neutral,neutral,neutral,negative
Salawasna satia ngagunakeun unggal produk Nissan.,neutral,neutral,positive,neutral,neutral,neutral
"Kuring henteu weruh naha Avsen leuwih hadé pikeun mobil perang, sanajan teu stabil, teu pisan nyaman,",neutral,neutral,negative,neutral,neutral,neutral
"Abdi resep pisan ka Agya, narikna lemes pisan",neutral,positive,neutral,neutral,neutral,neutral
"Kuring pasti milih Pajero, salain modelna keren sareng katingalna dinamis, mesinna oge ageung, model dashboardna sporti.",neutral,positive,positive,positive,neutral,neutral
"Toyota Rush abdi yuswa 8 taun, teu gaduh kakuatan pinuh",neutral,negative,neutral,neutral,neutral,neutral
"Kuring geus boga Lexi salila saminggu, éta leuwih nyaman ti Vario.",neutral,neutral,negative,neutral,neutral,neutral
Tarik lincah pasti Avanza,neutral,positive,neutral,neutral,neutral,neutral
Xenia ngajalankeun leuwih lincah batan Avanza nu rada lemah,neutral,negative,neutral,neutral,neutral,neutral
kakuatan alus. Vario125 esp combi brake nikmat teu ngerakeun.,neutral,positive,neutral,positive,neutral,neutral
"clutch Avanza abdi rada teuas, Pak.",neutral,neutral,neutral,negative,neutral,neutral
tapi harga otr xi leuwih mahal batan li,neutral,neutral,neutral,neutral,positive,neutral
Mitsubishi raja jalan,neutral,neutral,positive,neutral,neutral,neutral
"Angkat mobil di Bengkel Honda Pondok Indah. Palayanan parantos réngsé, tapi mobilna leres-leres kotor. tapi teknisi keukeuh yén éta geus dikumbah.",neutral,neutral,neutral,neutral,neutral,negative
Abdi 2008 Xenia Li VVTI pamaké Kuring geus teu kungsi masalah ngagunakeun eta mulus,neutral,neutral,positive,neutral,neutral,neutral
"Xenia memang bandel, kuring bagja pisan ku mobil kuring.",neutral,positive,positive,neutral,neutral,neutral
Anu jelas mah teu kaduhung milih Calya,neutral,neutral,positive,neutral,neutral,neutral
Abdi pamula. Leuwih resep exterior tina Brio. Ngan lamun completeness sahiji fitur bener,neutral,neutral,neutral,positive,neutral,neutral
"Pikeun anu gaduh Avanza sareng Xenia, anjeun kedah ngaraosan sora dina kabin sareng lemahna mobil.",neutral,neutral,neutral,negative,neutral,neutral
Avanza maneuvers saé pisan,neutral,positive,neutral,neutral,neutral,neutral
"Avanza boga kapasitas nyaman jeung aman 7 panumpang, sarta durability hadé berkat chassis semi-monocoque digabungkeun jeung sub-pigura juragan.",neutral,neutral,neutral,positive,neutral,neutral
"Sanaos hargana mahal, konsumsi BBM Fortuner ogé nyéépkeun dompét anjeun",negative,neutral,negative,neutral,neutral,neutral
Xenia Li cukup sanggup salaku mobil ekonomis jeung cukup kuat.,positive,positive,neutral,neutral,neutral,neutral
Suku cadang Fortuner hese neangan,neutral,neutral,neutral,negative,neutral,neutral
"Anu kuring resep ngeunaan Avanza nyaéta volume anu ageung, murangkalih tiasa santai santai dina mobil",neutral,neutral,neutral,positive,neutral,neutral
"Abdi gaduh kulawarga Xenia Li 08, kuring henteu ngagaduhan keluhan ngeunaan ngagunakeunana.",neutral,neutral,positive,neutral,neutral,neutral
"Kuring langsung kagum ku kanyamanan, mimitian ti cangkéng kabin, dukungan suspensi, jsb",neutral,neutral,positive,positive,neutral,neutral
"Kumaha upami Fortuner ... ngan kakuatan normal, Pajero Sport teu boga kakuatan pikeun isin ngeunaan eta.",neutral,positive,neutral,neutral,neutral,neutral
"12 cup holders sigana henteu kapake kanggo mobil tujuh korsi, naon nami tujuh korsi?",neutral,neutral,neutral,negative,neutral,neutral
Honda Brio gaduh setir anu tepat sareng tegak sapertos 86 ogé korsi gaya balap anu sporti.,neutral,neutral,neutral,positive,neutral,neutral
kaduhung ngagaleuh agya tarikna lalaunan mun loba dipake teu kuat,neutral,negative,neutral,neutral,neutral,neutral
"Lamun datang ka sakabéh, Pajero jelas ngéléhkeun Fortuner",neutral,neutral,negative,neutral,neutral,neutral
"Pasalna, harga Fortuner sahandapeun harga Pajero",neutral,neutral,neutral,neutral,negative,neutral
Salah sahiji hal anu paling kuring resep ngeunaan merek Honda nyaéta korsi ultra,neutral,neutral,neutral,positive,neutral,neutral
"Avanza ieu beuki geulis, Pak",neutral,neutral,positive,neutral,neutral,neutral
"Kuring ngaku yén mobil ieu paling cocog pikeun gawé kalawan mobilitas tinggi, badag atawa henteu, leutik atawa henteu, asup ka désa gang leutik dina lungkawing, climbs lincah, sarta paling importantly kabayang pungkur drive cocog pikeun sagala rupa bumi.",neutral,positive,neutral,positive,neutral,neutral
"Ignis Worth it mas kalawan harga panghandapna 139,5 jutaan.",neutral,neutral,neutral,neutral,positive,neutral
"Beuli Beat Fi pikeun pamakéan sapopoé, narik nyaman, pisan ekonomis pikeun pamakéan kuliah. Harga oke.",positive,positive,neutral,neutral,positive,neutral
Wuling Confero S 1.5 L Lux+ ka East Java Park 3 karasaeun kanyamanan mobil ieu teu ajeg.,neutral,neutral,positive,neutral,neutral,neutral
"XPander anu saé pisan, asa sapertos mobil ti payun",neutral,neutral,positive,neutral,neutral,neutral
"Konsumsi BBM HRV ogé irit pisan, ngahontal 13,5 km/l",positive,neutral,neutral,neutral,neutral,neutral
Kauntungannana Avanza nu ngajadikeun kuring murag asih jeung Avanza nyaéta pamakéan sistem kabayang pungkur drive.,neutral,neutral,neutral,positive,neutral,neutral
Hadeh Toyota Prado ruksak kabeh. Memang ceuk lanceuk mah ngoméan mobil matik téh hésé,neutral,neutral,neutral,neutral,neutral,negative
"The All New Avanza leuwih nyaman, leuwih lincah. akselerasi hadé.",neutral,positive,neutral,neutral,neutral,neutral
Toyota Rush cocog pikeun sagala musim kalayan sumanget petualangan.,neutral,neutral,positive,neutral,neutral,neutral
"Abdi pangguna Xpander, abdi nyobian di lamping Dieng sareng 6 panumpang dewasa, teu kunanaon. Jeung mobil ieu memang hébat",neutral,neutral,positive,neutral,neutral,neutral
Brio saé pisan sareng pantes dijual saé,neutral,neutral,positive,neutral,neutral,neutral
"@iip_bados05 Bengkel resmi Toyota, Honda, Daihatsu standarna langkung sae dibanding bengkel biasa bro, janten Astrido gaduh Toyota.",neutral,neutral,neutral,neutral,neutral,positive
"Lamun ngutamakeun desain, leuwih hade ngan make Brio, tapi tina segi kakuatan masih kurang.",neutral,negative,neutral,positive,neutral,neutral
Mobil Brio estu goréng teu saé.,neutral,neutral,negative,neutral,neutral,neutral
"Gaya Fortuner leres-leres bergaya, cocog pikeun anjeun anu resep maén Instagram",neutral,neutral,neutral,positive,neutral,neutral
"Naek Honda Beat, 180 cm kuring karasaeun kawas lanceukna naek trolley orok.",neutral,neutral,negative,neutral,neutral,neutral
Kelemahan kakuatan Avanza nyaéta resep turun nalika panas,neutral,negative,neutral,neutral,neutral,neutral
"Kamari kuring ngarebut nganggo XPander Exceed, tétéla langkung saé.",neutral,neutral,positive,neutral,neutral,neutral
"Nganggo HR-V 1.8, kuring ogé ngarasa yén mobil ieu ngagaduhan kabin anu lega sareng interior anu saé.",neutral,neutral,neutral,positive,neutral,neutral
"Hargana murah, tapi mesin Avanza alus teuing.",neutral,positive,neutral,neutral,positive,neutral
"Harga Honda Brio RS mahal teuing, numutkeun abdi pribadi.",neutral,neutral,neutral,neutral,negative,neutral
"Kualitas produk, téknologi, sareng suku cadang anu dijamin ogé mangrupikeun aspék anu mangaruhan daya tarik Avanza ka anu gaduh",neutral,neutral,positive,positive,neutral,neutral
"Upami anjeun gaduh anggaran, pilih waé Xi, tarikanna langkung saé sareng langkung kuat,",neutral,positive,neutral,neutral,neutral,neutral
Avanza leres-leres ngadukung profési anu kuring aya sabab pikeun mahasiswa sapertos kuring.,neutral,neutral,positive,neutral,neutral,neutral
Karakter mesin Livina gancang dina rpm luhur atanapi jarak jauh.,neutral,positive,neutral,neutral,neutral,neutral
Avanza ieu mangrupikeun mobil anu saé. Daya tahan mesin henteu diragukeun. di gunung teu ngerakeun.,neutral,positive,positive,neutral,neutral,neutral
"Dina awal taun 2018, kuring nyobian facelift Altis gen 11, karasa mobil ieu beuki irit.",positive,neutral,neutral,neutral,neutral,neutral
"Bener ieu mah honda, karek satengah poe, karek jam 10, geus teu narima servis motor deui,",neutral,neutral,neutral,neutral,neutral,negative
Varian Rush G AT 2018 nyaéta irit bahan bakar.,positive,neutral,neutral,neutral,neutral,neutral
"Bingung mun ka tukang reparasi, sieun goreng, mun service di honda mahal.",neutral,neutral,neutral,neutral,neutral,negative
"Brio gaduh fitur kaamanan tingkat luhur anu henteu dipiboga ku 86, nyaéta pangwatesan kagancangan dina 145 km/jam.",neutral,neutral,neutral,positive,neutral,neutral
"Teknisi honda dianggo lami !! Kumaha ari geus 20 antrian mah motorna teu keuna? Ti jam 10 wow! Leres, jasa Yamaha saé!",neutral,neutral,neutral,neutral,neutral,positive
"Kakuatan ok, tapi desain Pajero siga banci.. teu segampang model Pajero",neutral,positive,neutral,negative,neutral,neutral
Pangsi Fortuner gancang pisan ngan ukur 1 sasih,neutral,neutral,neutral,neutral,neutral,positive
"Bebek & Xenia duanana bos ekonomis, hal utama Xenia",positive,neutral,neutral,neutral,neutral,neutral
